,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
74,0.015,0.777,0.20800000000000002,0.95,0.02,0.02,0.02,True,True,True,True
75,0.021,0.809,0.17,0.96,0.01,0.02,0.01,False,False,False,False
76,0.015,0.836,0.149,0.96,0.01,0.02,0.01,False,False,True,False
77,0.028999999999999998,0.8190000000000001,0.152,0.94,0.02,0.02,0.02,False,False,True,True
78,0.017,0.858,0.126,0.95,0.02,0.02,0.02,True,False,False,False
79,0.009000000000000001,0.823,0.16699999999999998,0.95,0.02,0.02,0.02,True,True,True,True
80,0.022000000000000002,0.82,0.158,0.96,0.01,0.01,0.01,True,True,True,True
81,0.019,0.843,0.138,0.96,0.01,0.01,0.01,True,True,True,True
82,0.009000000000000001,0.8540000000000001,0.136,0.04,0.03,0.9,0.03,False,False,True,True
83,0.017,0.809,0.174,0.04,0.03,0.9,0.03,False,False,True,True
84,0.016,0.8170000000000001,0.16699999999999998,0.96,0.01,0.01,0.01,False,False,True,True
85,0.023,0.845,0.132,0.96,0.01,0.01,0.01,False,False,True,True
86,0.02,0.797,0.184,0.96,0.01,0.02,0.01,False,False,True,False
87,0.027999999999999997,0.787,0.185,0.96,0.01,0.02,0.01,False,False,True,False
88,0.027000000000000003,0.813,0.16,0.96,0.01,0.02,0.01,True,True,True,True
89,0.018000000000000002,0.813,0.168,0.96,0.01,0.02,0.01,True,True,True,True
90,0.011000000000000001,0.868,0.121,0.01,0.01,0.96,0.01,True,True,False,True
91,0.021,0.8290000000000001,0.15,0.02,0.01,0.96,0.01,False,False,False,False
92,0.017,0.816,0.16699999999999998,0.01,0.01,0.96,0.01,True,True,True,True
93,0.034,0.8320000000000001,0.134,0.02,0.02,0.94,0.02,True,True,True,True
94,0.036000000000000004,0.8490000000000001,0.115,0.02,0.01,0.95,0.01,False,True,False,True
95,0.033,0.825,0.142,0.02,0.02,0.95,0.02,False,False,False,True
96,0.025,0.848,0.127,0.95,0.02,0.02,0.02,False,False,True,True
